record_type,type_id,type_name_zh,type_name_en,dimension,section,seq,slot,func,variant_no,is_default,optional,sentence_key,text,blanks,note_zh
hint,5,5. 討論兩方觀點（Discuss Both Views）,discuss_both_views,single,,0,V2,glossary,1,1,0,,觀點二,,
hint,5,5. 討論兩方觀點（Discuss Both Views）,discuss_both_views,single,,80,B1-5,rule,1,1,0,,若你支持觀點一，在此表明立場（可省略，先背骨架時跳過）,,
hint,5,5. 討論兩方觀點（Discuss Both Views）,discuss_both_views,single,,140,B2-5,rule,1,1,0,,若你支持觀點二，在此表明立場（可省略）,,
hint,6,6. 優點與缺點（Adv & Disadv）,adv_and_disadv,dual,,0,A1,glossary,1,1,0,,好處一,,
hint,6,6. 優點與缺點（Adv & Disadv）,adv_and_disadv,dual,,0,A2,glossary,1,1,0,,好處二,,
hint,6,6. 優點與缺點（Adv & Disadv）,adv_and_disadv,dual,,0,D1,glossary,1,1,0,,壞處一,,
hint,6,6. 優點與缺點（Adv & Disadv）,adv_and_disadv,dual,,0,D2,glossary,1,1,0,,壞處二,,
hint,7,7. 問題與解決方案（Prob & Solutions）,problems_and_solutions,dual,,0,P1,glossary,1,1,0,,問題一（problem）,,
hint,7,7. 問題與解決方案（Prob & Solutions）,problems_and_solutions,dual,,0,P2,glossary,1,1,0,,問題二,,
hint,7,7. 問題與解決方案（Prob & Solutions）,problems_and_solutions,dual,,0,S1,glossary,1,1,0,,解法一,,
hint,7,7. 問題與解決方案（Prob & Solutions）,problems_and_solutions,dual,,0,S2,glossary,1,1,0,,解法二,,
hint,8,8. 原因與解決方案（Causes & Solutions）,causes_and_solutions,dual,,0,C1,glossary,1,1,0,,原因一,,
hint,8,8. 原因與解決方案（Causes & Solutions）,causes_and_solutions,dual,,0,C2,glossary,1,1,0,,原因二,,
hint,8,8. 原因與解決方案（Causes & Solutions）,causes_and_solutions,dual,,0,S1,glossary,1,1,0,,解法一,,
hint,8,8. 原因與解決方案（Causes & Solutions）,causes_and_solutions,dual,,0,S2,glossary,1,1,0,,解法二,,
hint,9,9. 原因與影響（Causes & Effects）,causes_and_effects,dual,,0,C1,glossary,1,1,0,,原因一,,
hint,9,9. 原因與影響（Causes & Effects）,causes_and_effects,dual,,0,C2,glossary,1,1,0,,原因二,,
hint,9,9. 原因與影響（Causes & Effects）,causes_and_effects,dual,,0,Ef1,glossary,1,1,0,,影響一,,
hint,9,9. 原因與影響（Causes & Effects）,causes_and_effects,dual,,0,Ef2,glossary,1,1,0,,影響二,,
